meeting_key,session_key,driver_number,date,rpm,speed,n_gear,throttle,drs,brake
1240,9558,55,2024-07-06T15:12:37.565000+00:00,0,0,0,104,8,104
1240,9558,55,2024-07-06T15:12:37.765000+00:00,0,0,0,104,8,104
1240,9558,55,2024-07-06T15:12:38.005000+00:00,0,0,0,104,8,104
1240,9558,55,2024-07-07T13:04:59.448000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:04:59.728000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:00.088000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:00.288000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:00.488000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:00.648000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:00.968000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:01.208000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:01.408000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:01.728000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:02.088000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:02.248000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:02.408000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:02.728000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:02.888000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:03.088000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:03.248000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:03.528000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:03.728000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:03.928000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:04.327000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:04.648000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:04.888000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:05.168000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:05.528000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:05.688000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:05.968000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:06.208000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:06.568000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:06.808000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:07.048000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:07.328000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:07.648000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:08.008000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:08.448000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:08.808000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:09.088000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:09.448000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:09.648000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:09.888000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:10.248000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:10.408000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:10.768000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:10.967000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:11.288000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:11.528000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:11.728000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:12.208000+00:00,0,0,0,0,0,0
1240,9558,55,2024-07-07T13:05:12.648000+00:00,0,0,0,0,0,0
